nl,code
raise an ValueError exception with an argument e.,raise ValueError ( e )
"call the function urlquote with 2 arguments value and unpacked dictionary kwargs, return the result.","return urlquote ( value , ** kwargs )"
"substitute the '%s' with table and 3 elements of a list: b64encoded, exp and key, respectively. if DatabaseError exception is caught,",except DatabaseError :
define the function do_filter with 2 arguments: parser and token.,"def do_filter ( parser , token ) :"
fp is a instance of a class six.BytesIO.,fp = six . BytesIO ( )
"try,",try :
"register.tag decorator,",@ register . tag
"call the method return self.format with an argument string 'D, j M Y H:i:s O', return the result.","return self . format ( 'D, j M Y H:i:s O' )"
derive the class Form from the base classes DeclarativeFieldsMetaclass and BaseForm.,"class Form ( six . with_metaclass ( DeclarativeFieldsMetaclass , BaseForm ) ) :"
"substitute it for value of dictionary response under the key 'Vary'. define function has_vary_header, with response and header_query as arguments.","def has_vary_header ( response , header_query ) :"
"extension_map is a dictioanry with 6 initial elntries: TarArchive for '.tar', TarArchive for '.tar.bz2', TarArchive for '.tar.gz',","extension_map = { '.tar' : TarArchive , '.tar.bz2' : TarArchive , '.tar.gz' : TarArchive , '.tgz' : TarArchive , '.tz2' : TarArchive , '.zip' : ZipArchive , }"
"for every app_config in return value of the method apps.get_app_configs,",for app_config in apps . get_app_configs ( ) :
"while x is greater than zero,",while x > 0 :
"if length of name is greater than integer 255,",if len ( name ) > 255 :
"bitwise shift integer 1 to the left by 31 spaces, substitute integer 1 from the result, convert the result to a integer, substitute it for MAXSIZE.",MAXSIZE = int ( ( 1 << 31 ) - 1 )
add params to extra_params dictionary.,extra_params . update ( params )
"self.field.choice_cache is a list containing results of the method self.choice called with an argument obj,",self . field . choice_cache = [ self . choice ( obj ) for obj in self . queryset . all ( ) ]
update defaults dictionary with kwargs.,defaults . update ( kwargs )
"matches is boolean True,",matches = True
derive the class EmailMultiAlternatives from the EmailMessage base class.,class EmailMultiAlternatives ( EmailMessage ) :
"call the function get_commands, substitute it for commands.",commands = get_commands ( )
define the method get_connection with arguments self and fail_silently set to boolean False.,"def get_connection ( self , fail_silently = False ) :"
"if not,",else :
from functools import update_wrapper.,from functools import update_wrapper
get is a string '<could not parse>'.,get = '<could not parse>'
"if not,",else :
"from django.template.base import Variable, Library and VariableDoesNotExist into default name space.","from django . template . base import Variable , Library , VariableDoesNotExist"
define the function reset_translation.,def reset_translations ( ) :
"try,",try :
define the method regex with an argument self.,def regex ( self ) :
return settings.TEMPLATE_STRING_IF_INVALID.,return settings . TEMPLATE_STRING_IF_INVALID
"call the method tag.groups, substitute the result for closing_tag, tagname and self_closing, respectively.","closing_tag , tagname , self_closing = tag . groups ( )"
return settings.LANGUAGE_CODE.,return settings . LANGUAGE_CODE
from django.template.base import TemplateDoesNotExist into default name space.,from django . template . base import TemplateDoesNotExist
"get the value under the key key of the self.find_template_cache dictionary, substitute it for result.",result = self . find_template_cache [ key ]
"result of the function force_text with an argument option_label, return the result. define the method render_options with 3 arguments: self, choices and selected_choices.","def render_options ( self , choices , selected_choices ) :"
derive the class Command from the BaseCommand base class.,class Command ( BaseCommand ) :
"for every f in opts.local_fields that has an 'post_create_sql' attribute, append f to a list, substitute the resulting list for post_sql_fields.","post_sql_fields = [ f for f in opts . local_fields if hasattr ( f , 'post_create_sql' ) ]"
substitute self.max_value for the value under the 'max' key of the attrs dictionary.,attrs [ 'max' ] = self . max_value
"convert filename to lowercase, use the result as an argument for the call to the function os.path.splitext,","base , tail_ext = os . path . splitext ( filename . lower ( ) )"
define the method empty_variable with 2 arguments: self and token.,"def empty_variable ( self , token ) :"
raise an TypeError exception with an argument string 'Level not an integer or a valid string: %r' formated with level.,raise TypeError ( 'Level not an integer or a ' 'valid string: %r' % level )
"get the value under the self key of the context.render_context dictionary, substitute it for cycle_iter.",cycle_iter = context . render_context [ self ]
flush the output buffer of the self.stdout object.,self . stdout . flush ( )
derive the class SerializationError from the Exception base class.,class SerializationError ( Exception ) :
"call the BaseCache initialization method __init__ with 3 arguments self, list of arguments args and dictionary of arguments kwargs.","BaseCache . __init__ ( self , * args , ** kwargs )"
"define the method render with 4 arguments: self, name, value and attrs set to None.","def render ( self , name , value , attrs = None ) :"
"assign it to value under the string "".moves.urllib_robotparser"" appended to __name__ key of the sys.modules dictionary, and to value under the string "".moves.urllib.robotparser"" appended to __name__ key of the sys.modules dictionary. derive class Module_six_moves_urllib from the types.ModuleType base class.",class Module_six_moves_urllib ( types . ModuleType ) :
"substitute '%s' in string '%s %s' with the elements of value converted into a tuple, substitute the result for value.",value = '%s %s' % tuple ( value )
delete Trans.,del Trans
"and integer 60, substitute the result for timezone. divide timezone by integer 60, substitute the quotient of the division for hour and reminder for minute.","hour , minute = divmod ( timezone , 60 )"
"call the method value.encode with an argument self._charset, use the result as an argument for the call to the bytes function,",return bytes ( value . encode ( self . _charset ) )
"break from the loop execution,",break
"convert tagname to lowercase, substitute it for tagname.",tagname = tagname . lower ( )
"if self.is_bound is false,",if not self . is_bound :
"if not,",else :
"call the get_script_name function with environ as argument, substitute the result for script_name.",script_name = get_script_name ( environ )
"if domain equals a string 'djangojs' and file_ext is contained in command.extensions,",if domain == 'djangojs' and file_ext in command . extensions :
return value.,return value
"with an argument i, append the result to a list, substitute the resulting list for forms. return forms.",return forms
use the global variable _serializers.,global _serializers
substitute ending for self.ending.,self . ending = ending
"get value under the BLOCK_CONTEXT_KEY key of context.render_context dictionary, substitute it for block_context.",block_context = context . render_context . get ( BLOCK_CONTEXT_KEY )
derive the class VariableDoesNotExist form the base class Exception.,class VariableDoesNotExist ( Exception ) :
"if fp is an instance of file and data is an instance of unicode and fp.encoding is not None,","if ( isinstance ( fp , file ) and isinstance ( data , unicode ) and fp . encoding is not None ) :"
call the function _load_serializers.,_load_serializers ( )
define the method changed_data with an argument self.,def changed_data ( self ) :
"and ip_address_validator_map converted to a list, respectively. call the re.compile function with an argument raw string '^[\d,]+$', substitute the result for comma_separated_int_list_re.","comma_separated_int_list_re = re . compile ( '^[\d,]+$' )"
define the method __init__ with arguments: self and options set to None.,"def __init__ ( self , options = None ) :"
"if elt is an instance of NonCapture class,","if isinstance ( elt , NonCapture ) :"
append decimals to parts.,parts . append ( decimals )
"call the serializer function, call the dumps method on the result with an argument obj, substitute result for data.",data = serializer ( ) . dumps ( obj )
"evaluate the method self._cache.decr with key and negative delta as arguments, return the result.","return self . _cache . decr ( key , - delta )"
"substitute nodelist_true and nodelist_false for self.nodelist_true and self.nodelist_false, respectively.","self . nodelist_true , self . nodelist_false = nodelist_true , nodelist_false"
"for every label in labels,",for label in labels :
derive class InvalidCacheBackendError from the ImproperlyConfigured base class.,class InvalidCacheBackendError ( ImproperlyConfigured ) :
"if result is not None,",if result is not None :
"define the method __init__ with 6 arguments: self, name, old_mod, new_mod, old_attr set to None, new_attr set to None.","def __init__ ( self , name , old_mod , new_mod , old_attr = None , new_attr = None ) :"
status_code is an integer 405.,status_code = 405
self.second is None.,self . second = None
call the method f.save_form_data with 2 arguments: instance and value under the f.name key of cleaned_data dictionary.,"f . save_form_data ( instance , cleaned_data [ f . name ] )"
"get the 'value' attribute of the _urlconfs, if it exists return it, otherwise return defaults.","return getattr ( _urlconfs , ""value"" , default )"
"raise an exception of class NotImplementedError, with string 'subclasses of BaseCache must provide a get() method' as argument.",raise NotImplementedError ( 'subclasses of BaseCache must provide a get() method' )
substitute tempfile.gettempdir for gettempdir.,gettempdir = tempfile . gettempdir
define the method __init__ with 2 arguments: self and attrs set to None.,"def __init__ ( self , attrs = None ) :"
"paths is a list containing results of the function force_text called with an argument p, for every p in paths.",paths = [ force_text ( p ) for p in paths ]
from unittest import import everything.,from unittest import *
read chunk_size bytes from file and store it in data.,data = file . read ( chunk_size )
"for every dirpath, dirnames and locale_filenames in directory tree starting at the basedir directory.","for dirpath , dirnames , locale_filenames in os . walk ( basedir ) :"
"for every obj in result of the method self.queryset.all. for every choice in self.field.choice_cache,",for choice in self . field . choice_cache :
"if ValueError, TypeError or ValidationError exception is caught,","except ( ValueError , TypeError , ValidationError ) :"
"_meth_self is a string ""__self__"".","_meth_self = ""__self__"""
"append it to the string "" Target specific migration: "", use it as the argument for the call to the self.style.MIGRATE_LABEL method, call the self.stdout.write method with previous return value as an argument. if run_syncdb and executor.loader.unmigrated_apps is true,",if run_syncdb and executor . loader . unmigrated_apps :
raise an exception.,raise
define the method __getitem__ with 2 arguments: self and idx.,"def __getitem__ ( self , idx ) :"
self.cookies is an instance of SimpleCookie class created with self.cookies as an argument.,self . cookies = SimpleCookie ( self . cookies )
"define the method __init__ with 4 arguments: self, form, field and name.","def __init__ ( self , form , field , name ) :"
"call the method match.groupdict, substitute the result for kw.",kw = match . groupdict ( )
define the method __bool__ with an argument self.,def __bool__ ( self ) :
"if InvalidTemplateLibrary, renamed to e, exception is caught,",except InvalidTemplateLibrary as e :
define the function F with an argument i.,def F ( i ) :
"if 'media' is not contained in attrs,",if 'media' not in attrs :
"if LookupError exception is caught,",except LookupError :
"if initial is None,",if initial is None :
"from django.utils import iri_to_uri, force_bytes, force_text to the default name space.","from django . utils . encoding import iri_to_uri , force_bytes , force_text"
derive the class StreamingBuffer from the object base class.,class StreamingBuffer ( object ) :
"call the method e.encode with an argument string ""latin-1"".","return s . encode ( ""latin-1"" )"
"return boolean False,",return False
"for every code in tuple with 2 elements: lang_code and generic_lang_code,","for code in ( lang_code , generic_lang_code ) :"
"try,",try :
if language_code is not containsed in self._app_dict,if language_code not in self . _app_dict :
"subtract length of the ext from the integer 255, take first elements of the name list up to the previous result index,",name = name [ : 255 - len ( ext ) ] + ext
matches is boolean False.,matches = False
substitute value under idx key of dictionary d for d.,d = d [ idx ]
"call the function date with 2 arguments: result of the call to the function datetime.now with an argument tz set to tzinfo,","return date ( datetime . now ( tz = tzinfo ) , self . format_string )"
"if data is None,",if data is None :
match is None.,match = None
ModelFormMetaclass and BaseModelForm. do nothing.,pass
call the function handle_m2m with an argument relobj.,handle_m2m ( relobj )
"if i is smaller than result of the method self.initial_form_count and key 'instance' is not contained in kwargs,",if i < self . initial_form_count ( ) and 'instance' not in kwargs :
derive the class EscapeData from object base class.,class EscapeData ( object ) :
"get the value under the 'exclude' key of the options dictionary, substitute it for exclude.",exclude = options . get ( 'exclude' )
define the method data with an argument self.,def data ( self ) :
from IPython.frontend.terminal.ipapp import TerminalIPythonApp into default namespace.,from IPython . frontend . terminal . ipapp import TerminalIPythonApp
"request_repr is a string ""unavailable"".","request_repr = ""unavailable"""
return integer 1.,return 1
"value under the 'feed_url' key of the self.feed dictionary for 'href'. if value under the 'language' key of the self.feed dictionary is not None,",if self . feed [ 'language' ] is not None :
from threading import local into default name space.,from threading import local
"call the method token.split_contents, substitute the result for bits.",bits = token . split_contents ( )
from django.conf import settings into default name space.,from django . conf import settings
"call the function force_text with an argument s, strip the result of whitespaces from both ends,","s = force_text ( s ) . strip ( ) . replace ( ' ' , '_' )"
define the method indent with argument self and level.,"def indent ( self , level ) :"
"if root is true,",if root :
"raise a ValueError exception with an argument string ""JSON can't represent timezone-aware times."".","raise ValueError ( ""JSON can't represent timezone-aware times."" )"
yield key and value under the key key of self dictionary.,"yield key , self [ key ]"
"if type of result is ConvertingDict, ConvertingList or ConvertingTuple,","if type ( result ) in ( ConvertingDict , ConvertingList , ConvertingTuple ) :"
"initialize the object of a InMemoryUploadedFile class with arguments: file set to self.file, field_name set to self.field_name,","return InMemoryUploadedFile ( file = self . file , field_name = self . field_name , name = self . file_name , content_type = self . content_type , size = file_size , charset = self . charset , content_type_extra = self . content_type_extra )"
"call the function timedelta with an argument seconds set to negative _time.timezone, substitute the result for self.STDOFFSET.",self . STDOFFSET = timedelta ( seconds = - _time . timezone )
from django.conf import settings into default name space.,from django . conf import settings
"substitute format for self.format if format is true, if not self.format is None.",self . format = format if format else None
"call the file.__exit__ method on self with exc, value and tb as the arguments.","self . file . __exit__ ( exc , value , tb )"
substitute form.instance for obj.,obj = form . instance
"if can_fail is true,",if can_fail :
"call the function exec_ with an argument string """"""def reraise(tp, value, tb=None): raise tp, value, tb"""""".","exec_ ( """"""def reraise(tp, value, tb=None): raise tp, value, tb """""" )"
"define the function salted_hmac with 3 arguments: key_salt, value and secret set to None.","def salted_hmac ( key_salt , value , secret = None ) :"
"convert name to lower case if it equals to string 'from' or 'to,","if name . lower ( ) in ( 'from' , 'to' ) :"
"if ret equals to integer 0, return boolean True, otherwise return boolean False.",return ( ret == 0 )
"if first element of data_list is contained in self.empty_values,",if data_list [ 0 ] in self . empty_values :
substitute self.__class__ for response._handler_class.,response . _handler_class = self . __class__
call the method self.end_object with an argument obj.,self . end_object ( obj )
"substitute the '%s' with table and list containing key, respectively. return default.",return default
"if self.forms is true,",if self . forms :
from django.utils.safestring import mark_safe into default name space.,from django . utils . safestring import mark_safe
define the method upload_handlers with arguments: self and upload_handlers.,"def upload_handlers ( self , upload_handlers ) :"
"if AttributeError exception is caught,",except AttributeError :
substitute state for self.state.,self . state = state
"divide hits by a floating point number self.per_page, convert its ceiling value to an integer and substitute it for self._num_pages.",self . _num_pages = int ( ceil ( hits / float ( self . per_page ) ) )
from django.conf import settings into default name space.,from django . conf import settings
"define the method __init__ with arguments self, unpacked list args and unpacked dictionary kwargs.","def __init__ ( self , * args , ** kwargs ) :"
"try,",try :
"define method set_cdata_mode, with self class instance and tag as the arguments.","def set_cdata_mode ( self , tag ) :"
"if instance is None,",if instance is None :
return boolean False.,return False
append tuple with 2 elements: migration.app_label and migration.name to replaces.,"replaces . append ( ( migration . app_label , migration . name ) )"
"if response has an attribute 'render' and response.render is a callable object,","if hasattr ( response , 'render' ) and callable ( response . render ) :"
"write string ""Performing system checks...\n\n"" to self.stdout stream.","self . stdout . write ( ""Performing system checks...\n\n"" )"
define the function extract with 2 arguments path and to_path set to empty string.,"def extract ( path , to_path = '' ) :"
"call the method self.build_attrs with an argument attrs, substitute the result for final_attrs.",final_attrs = self . build_attrs ( attrs )
"define the function construct_instance with 4 arguments: form, instance, fields set to None and exclude set to None.","def construct_instance ( form , instance , fields = None , exclude = None ) :"
"call the function run with 5 arguments: self.addr, self.port converted to an integer, handler, ipv6 set to self.use_ipv6, and threading set to threading.","run ( self . addr , int ( self . port ) , handler , ipv6 = self . use_ipv6 , threading = threading )"
"if self._done is true,",if self . _done :
dklen is None.,dklen = None
"if values has an attribute '__len__',","if not hasattr ( values , '__len__' ) :"
import module errno.,import errno
locales is a difference between the locales and exclude sets.,locales = set ( locales ) - set ( exclude )
"call the method self.fetch_command with an argument command, call the method run_from_argv on the result with an argument self.argv.",self . fetch_command ( subcommand ) . run_from_argv ( self . argv )
import module re.,import re
call the self.setup_environ method.,self . setup_environ ( )
"try,",try :
"for every locale in locales,",for locale in locales :
"try,",try :
"if key exists, substitute it for self.key, if not substitute settings.SECRET_KEY for key.",self . key = key or settings . SECRET_KEY
"if length of app_labels is greater than integer 1 and primary_keys is true,",if len ( app_labels ) > 1 and primary_keys :
"if PY3 is true,",if PY3 :
"return a dictionary with an entry: self.ns for ""xmlns"".","return { ""xmlns"" : self . ns }"
"if day_of_year is smaller than or equalt to jan1_weekday subtracted from integer 8 and jan1_weekday is greater than integer 4,",if day_of_year <= ( 8 - jan1_weekday ) and jan1_weekday > 4 :
"if self.message_context is true,",if self . message_context :
"if close is True,",if close :
"define the function dec with an argument func,",def dec ( func ) :
return data.,return data
substitute _urllib_robotparser_moved_attributes for Module_six_moves_urllib_robotparser._moved_attributes.,Module_six_moves_urllib_robotparser . _moved_attributes = _urllib_robotparser_moved_attributes
"call the method clear from the base class of the class QueryDict, return the result.","super ( QueryDict , self ) . clear ( )"
"call the function to_python with an argument pk, substitute the result for pk.",pk = to_python ( pk )
from itertools import chain into default name space.,from itertools import chain
"if field is not equal to NON_FIELD_ERRORS and field is not contained in self.fields,",if field != NON_FIELD_ERRORS and field not in self . fields :
define the method remove_potfiles with an argument self.,def remove_potfiles ( self ) :
"if the key doesnt exists substitute self.use_natural_keys for self.use_natural_foreign_keys. remove the 'use_natural_primary_keys' key from the options dictionary and substitute it for self.use_natural_primary_keys,","self . use_natural_primary_keys = options . pop ( 'use_natural_primary_keys' , False )"
define the method exit_command with an argument self.,def exit_command ( self ) :
"if max_num is None,",if max_num is None :
return settings.LANGUAGE_CODE.,return settings . LANGUAGE_CODE
"define the function literals with 3 arguments: choices, prefix set to an empty string and suffix set to an empty string.","def literals ( choices , prefix = """" , suffix = """" ) :"
"if self.merge and conflicts are both true,",if self . merge and conflicts :
"define the method __init__ with 3 arguments: self, unpacked list args and unpacked dictionary kwargs.","def __init__ ( self , * args , ** kwargs ) :"
if attr is an instance of MovedModule.,"if isinstance ( attr , MovedModule ) :"
"evaluates to true, call the function select_template with an argument file_name, substitute the result for t.",t = select_template ( file_name )
"default string value, substitute it for value. return value if six.PY2 is true, if not return value.encode(ISO_8859_1).decode(UTF_8).",return value if six . PY2 else value . encode ( ISO_8859_1 ) . decode ( UTF_8 )
"if ch is not equal to a sring '?' or escaped is true,",if ch != '?' or escaped :
return errors.,return errors
"otherwise if domains equals a string django' and, file_ext equals '.py' or file_ext is contained in command.extensions,",elif domain == 'django' and ( file_ext == '.py' or file_ext in command . extensions ) :
"call the method self.build_attrs with 2 arguments: attrs and name set to name, substitute the result for final_attrs.","final_attrs = self . build_attrs ( attrs , name = name )"
"crate a dictionary with app mapping and from the class Migration, created with arguments: string 'custom' and app,","changes = dict ( ( app , [ Migration ( ""custom"" , app ) ] ) for app in app_labels )"
"and self.regex.flags equals to other.regex.flags and self.message equals to other.message and self.code equals to other.code, and self.inverse_match equals to other.inverse_match, return the result. define the method __ne__ with arguments self and other.","def __ne__ ( self , other ) :"
"CheckboxInput, Select, NullBooleanSelect, SelectMultiple, DateInput, DateTimeInput, TimeInput, SplitDateTimeWidget, SplitHiddenDateTimeWidget and FILE_INPUT_CONTRADICTION. from django.utils import formats into default name space.",from django . utils import formats
substitute whitelist for self.domain_whitelist.,self . domain_whitelist = whitelist
"call the method result.setlist with 2 arguments: return value of the function copy.deepcopy called with 2 arguments: key and memo,","result . setlist ( copy . deepcopy ( key , memo ) , copy . deepcopy ( value , memo ) )"
"if not,",else :
_empty_value is an empty list.,_empty_value = [ ]
return output.,return output
"and absolute value of p, substitute the result for exp. try,",try :
"if stream_or_string is an instance of bytes,","if isinstance ( stream_or_string , bytes ) :"
call the self.clear method.,self . clear ( )
"substitute the result for args and kwargs. return an instance of AssignmentNode class created with 4 arguments: takes_context, args, kwargs and target_var.","return AssignmentNode ( takes_context , args , kwargs , target_var )"
"return _translations dictionary value, under the language key.",return _translations [ language ]
"if not,",else :
"for every form in self call the form.as_ul method, join the results in a string, separated by an empty string.",forms = ' ' . join ( form . as_ul ( ) for form in self )
"call the as_bytes method on the return value of the message.message method append to it '\n' character, use it as the argument for the call to the self.stream.write method.",self . stream . write ( message . message ( ) . as_bytes ( ) + b'\n' )
substitute value under the key key of self dictionary for val.,val = self [ key ]
"if not,",else :
from django.utils.functional import allow_lazy into default name space.,from django . utils . functional import allow_lazy
"raise an TemplateSyntaxError exception with an argument string ""Second (optional) argument to %s tag must be 'parsed'"",","raise TemplateSyntaxError ( ""Second (optional) argument to %s tag"" "" must be 'parsed'"" % bits [ 0 ] )"
"if tags exists and if all elements in the return value of the method checks.tag_exists called with an argument tag,",if tags and any ( not checks . tag_exists ( tag ) for tag in tags ) :
and only if self.match is None or return value of the method self.match_re.search called with an argument f is true. append a tuple containing 2 elements: full_file and f to self.choices list.,"self . choices . append ( ( full_file , f ) )"
append loader to loaders.,loaders . append ( loader )
"remove kwargs dictionary element under the 'method' key, substitute it for method.",method = kwargs . pop ( 'method' )
define the method add_arguments with arguments self and parser.,"def add_arguments ( self , parser ) :"
"call the method token.split_contents, substitute the result.",bits = token . split_contents ( )
"raise an AttributeError exception with string ""Unable to determine the file's size."" as argument.","raise AttributeError ( ""Unable to determine the file's size."" )"
derive the class Command from the BaseCommand base class.,class Command ( BaseCommand ) :
self.items is an empty list.,self . items = [ ]
define the method stringfilter with an argument func.,def stringfilter ( func ) :
"call the function inline_re.match with an argument t.contents, substitute the result for imatch.",imatch = inline_re . match ( t . contents )
define the function gettext with an argument message.,def gettext ( message ) :
"default set to DEFAULT_DB_ALIAS and help set to string 'Nominates a database onto which to open a shell. Defaults to the ""default"" database.'. define the method handle with arguments self and unpacked dictionary options.","def handle ( self , ** options ) :"
sys.stderr is an instance of NullDevice class.,sys . stderr = NullDevice ( )
define the method __repr__ with an argument self.,def __repr__ ( self ) :
